Date,ADRO.JK,AMRT.JK,ASII.JK,BBCA.JK,BBRI.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,TPIA.JK,UNTR.JK
2021-09-13,421.5462951660156,1322.8369140625,3693.680419921875,5616.587890625,2632.048095703125,2366.0244140625,7743.796875,1352.3614501953125,7833.2587890625,2709.303955078125,1753.872802734375,12240.3251953125
2021-09-14,435.7027282714844,1322.8369140625,3744.509765625,5608.01953125,2632.048095703125,2346.78857421875,7766.77587890625,1361.56103515625,7833.2587890625,2782.09130859375,1760.0921630859375,12548.166015625
2021-09-15,437.275634765625,1327.6297607421875,3659.793212890625,5565.177734375,2603.59326171875,2356.406494140625,7697.83984375,1370.760986328125,7833.2587890625,2790.178466796875,1741.433837890625,12694.7578125
2021-09-16,437.275634765625,1318.0439453125,3642.849853515625,5569.46142578125,2589.3662109375,2366.0244140625,7559.9677734375,1324.76220703125,7679.23486328125,2782.09130859375,1859.6026611328125,12694.7578125
2021-09-17,419.9733581542969,1375.5587158203125,3676.736328125,5586.59912109375,2568.025390625,2327.552490234375,7491.03173828125,1333.9620361328125,7635.2275390625,2854.878662109375,1853.3831787109375,12020.4404296875
2021-09-20,415.2545471191406,1313.2510986328125,3592.019287109375,5642.29296875,2553.7978515625,2317.934326171875,7468.05322265625,1315.5623779296875,7481.2021484375,2846.791015625,1803.6280517578125,12064.416015625
2021-09-21,423.1192321777344,1327.6297607421875,3541.18896484375,5560.89306640625,2539.570556640625,2298.69873046875,7628.90380859375,1292.563232421875,7415.19189453125,2854.878662109375,1834.7249755859375,12079.0751953125
2021-09-22,440.4214782714844,1327.6297607421875,3575.075439453125,5616.587890625,2568.025390625,2337.17041015625,7536.9892578125,1306.3626708984375,7525.21044921875,2903.403076171875,1803.6280517578125,12240.3251953125
2021-09-23,445.14031982421875,1322.8369140625,3490.358154296875,5638.0087890625,2681.84326171875,2337.17041015625,7582.94677734375,1283.36328125,7481.2021484375,2879.14111328125,1791.18896484375,12357.5966796875
2021-09-24,471.8802185058594,1274.907958984375,3490.358154296875,5642.29296875,2717.41162109375,2298.69873046875,7628.90380859375,1287.963134765625,7305.173828125,2879.14111328125,1791.18896484375,12943.9599609375
2021-09-27,475.0260925292969,1337.215576171875,3507.302001953125,5638.0087890625,2667.615966796875,2269.844482421875,7674.86083984375,1287.963134765625,7217.15966796875,2846.791015625,1778.7503662109375,13413.0498046875
2021-09-28,547.381103515625,1337.215576171875,3439.52783203125,5586.59912109375,2646.275390625,2289.08056640625,7559.9677734375,1269.5635986328125,6909.11083984375,2854.878662109375,1772.53076171875,14072.7099609375
2021-09-29,541.0892944335938,1346.8013916015625,3608.962646484375,5638.0087890625,2660.502197265625,2308.31640625,7559.9677734375,1297.1629638671875,7459.19921875,2854.878662109375,1753.872802734375,14952.251953125
2021-09-30,553.6728515625,1322.8369140625,3727.56689453125,5997.8818359375,2738.7529296875,2366.0244140625,7674.86083984375,1315.5623779296875,7217.15966796875,2984.278076171875,1791.18896484375,15245.43359375
2021-10-01,559.9644775390625,1284.493896484375,3693.680419921875,5792.23974609375,2774.320556640625,2346.78857421875,7651.8828125,1287.963134765625,7129.14599609375,2960.015625,1753.872802734375,15245.43359375
